duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,resource_type_0_id_1,Hapi,Hapi,RobotoSemi-Bold SDF,Hapi,RobotoSemi-Bold SDF,
FALSE,usage_resource_type_0_id_1,Used to purchase riders and special items in Shop,Used to purchase riders and special items in Shop,Roboto-Regular SDF,Sử dụng để mua rider và vật phẩm đặc biệt trong cửa hàng,Roboto-Regular SDF,
FALSE,description_resource_type_0_id_1,"Hapi is a common money which could be found while playing and doing quests. ""Hapi"" means ""happy"" so be happy, players.","Hapi is a common money which could be found while playing and doing quests. ""Hapi"" means ""happy"" so be happy, players.",Roboto-Regular SDF,"Hapi là loại tiền tệ phổ thông thường được tìm thấy trong quá trình chơi và làm nhiệm vụ. ""Hapi"" có nghĩa là hạnh phúc!",Roboto-Regular SDF,
FALSE,usage_exp_1001,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_exp_1002,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_exp_1003,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_exp_1004,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_mp_1001,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_mp_1002,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_mp_1003,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,usage_mp_1004,Used to level up {0},Used to level up {0},Roboto-Regular SDF,Sử dụng để nâng cấp {0},Roboto-Regular SDF,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
