duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,quest_001_0,Log in game,Log in game,Roboto-Regular SDF,Đăng nhập vào game,Roboto-Regular SDF,
FALSE,quest_001_1,Log in game <b>{0}</b> days,Log in game <b>{0}</b> days,Roboto-Regular SDF,Đăng nhập game trong <b>{0}</b> ngày,Roboto-Regular SDF,
FALSE,quest_001_2,Log in game <b>{0}</b> consecutive days,Log in game <b>{0}</b> consecutive days,Roboto-Regular SDF,Đăng nhập vào game <b>{0}</b> ngày liên tiếp,Roboto-Regular SDF,
FALSE,quest_001_1_2,Log in game <b>{0}</b> days and <b>{0}</b> consecutive days,Log in game <b>{0}</b> days and <b>{0}</b> consecutive days,Roboto-Regular SDF,Đăng nhập vào game <b>{0}</b> ngày và có <b>{0}</b> ngày liên tiếp nhau,Roboto-Regular SDF,
FALSE,quest_002_1,Play a stage <b>{0}</b> times,Play a stage <b>{0}</b> times,Roboto-Regular SDF,Chơi một màn chơi <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_002_1_2,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> chơi màn chơi bất kỳ <b>{0}</b> lần ,Roboto-Regular SDF,
FALSE,quest_002_1_2_3,Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Play a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> chơi màn chơi bất kỳ <b>{0}</b> lần trong chế độ {2},Roboto-Regular SDF,
FALSE,quest_003_1,Win a stage <b>{0}</b> times,Win a stage <b>{0}</b> times,Roboto-Regular SDF,Thắng một màn chơi bất kỳ <b>{0}</b> lần,Roboto-Regular SDF,
FALSE,quest_003_1_2,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b>,Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> thắng màn chơi bất kỳ <b>{0}</b> lần ,Roboto-Regular SDF,
FALSE,quest_003_1_2_3,Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Win a stage <b>{0}</b> times with rider <b><color=#023cfa> {1} </color></b> in {2},Roboto-Regular SDF,Sử dụng rider <b><color=#023cfa> {1} </color></b> thắng màn chơi bất kỳ <b>{0}</b> lần trong chế độ {2},Roboto-Regular SDF,
