Is_duplicated;key;Origin;English (en);Font;Vietnamese (vi);Font;Rich text,,,,,,
FALSE;loading;Loading...;Loading...;Roboto-Italic SDF;Đang tải game...;Roboto-Italic SDF;,,,,,,
FALSE;button_start;START;START;JejuHallasan-Regular SDF;BẮT ĐẦU;JejuHallasan-Regular SDF;,,,,,,
FALSE;title_choose_a_stage;Choose a stage;Choose a stage;RobotoMono-Bold SDF;Chọn màn chơi;RobotoMono-Bold SDF;,,,,,,
FALSE;warning_not_unlocked;Not unlocked;Not unlocked;Roboto-Regular SDF;Chưa mở;Roboto-Regular SDF;,,,,,,
FALSE;warning_coming_soon;Coming soon;Coming soon;Roboto-Regular SDF;Sắp ra mắt;Roboto-Regular SDF;,,,,,,
FALSE;title_stage;Stage;Stage;IBMPlexMono-Bold SDF;Màn chơi;IBMPlexMono-Bold SDF;,,,,,,
FALSE;guide_game_rule;Reach the girl to win!;Reach the girl to win!;RobotoSemi-Bold SDF;Giải cứu Tsumu-chan để thắng!;RobotoSemi-Bold SDF;,,,,,,
FALSE;title_rider_information;RIDER INFORMATION;RIDER INFORMATION;RobotoSemi-Bold SDF;THÔNG TIN RIDER;RobotoSemi-Bold SDF;,,,,,,
FALSE;hp_hero_1001;5;5;Roboto-MediumItalic SDF;5;Roboto-MediumItalic SDF;,,,,,,
FALSE;hp_hero_1002;7;7;Roboto-MediumItalic SDF;7;Roboto-MediumItalic SDF;,,,,,,
FALSE;skill_info_hero_1001;Delete all objects within a 3x3 square, centered on the character. And increases the player's move by 1 move.;Delete all objects within a 3x3 square, centered on the character. And increases the player's move by 1 move.;Roboto-MediumItalic SDF;Xoá tất cả object trong phạm vi hình vuông 3x3, tâm là nhân vật. Và tăng thêm 1 move cho người chơi.;Roboto-MediumItalic SDF;,,,
FALSE;skill_info_hero_1002;Absorb all cells in a 3x3 cross shape, centered on the character. After that, restore HP corresponding to the number of objects in the absorbed cells. Not affected by harmful objects in the absorption cells.;Absorb all cells in a 3x3 cross shape, centered on the character. After that, restore HP corresponding to the number of objects in the absorbed cells. Not affected by harmful objects in the absorption cells.;Roboto-MediumItalic SDF;Hấp thụ tất cả các ô theo hình chữ thập kích thước 3x3, tâm là nhân vật. Sau đó, hồi phục HP tương ứng với số lượng object có trong các ô đã hấp thụ. Không bị ảnh hưởng bởi đối tượng có hại trong các ô hấp thụ.;Roboto-MediumItalic SDF;
FALSE;button_skill;SKILL;SKILL;Lalezar-Regular SDF;KỸ NĂNG;Lalezar-Regular SDF;,,,,,,
FALSE;button_replay;REPLAY;REPLAY;Lalezar-Regular SDF;CHƠI LẠI;Lalezar-Regular SDF;,,,,,,
FALSE;title_setting;Setting;Setting;RobotoSemi-Bold SDF;Cài đặt;RobotoSemi-Bold SDF;,,,,,,
FALSE;setting_sound;Sound;Sound;Roboto-Regular SDF;Âm thanh;Roboto-Regular SDF;,,,,,,
FALSE;setting_sound_on;On;On;RobotoMono-Italic SDF;Mở;RobotoMono-Italic SDF;,,,,,,
FALSE;setting_sound_off;Off;Off;RobotoMono-Italic SDF;Tắt;RobotoMono-Italic SDF;,,,,,,
FALSE;setting_language;Language;Language;Roboto-Regular SDF;Ngôn ngữ;Roboto-Regular SDF;,,,,,,
FALSE;setting_language_1;English;English;RobotoMono-Italic SDF;Tiếng Anh;RobotoMono-Italic SDF;,,,,,,
FALSE;setting_language_2;Vietnamese;Vietnamese;RobotoMono-Italic SDF;Tiếng Việt;RobotoMono-Italic SDF;,,,,,,
FALSE;setting_privacy_policy;Privacy policy;Privacy policy;Roboto-Regular SDF;Chính sách bảo mật;Roboto-Regular SDF;,,,,,,
FALSE;button_view;View;View;Lalezar-Regular SDF;Xem;Lalezar-Regular SDF;,,,,,,
FALSE;setting_term_of_condition;Term of condition;Term of condition;Roboto-Regular SDF;Điều kiện;Roboto-Regular SDF;,,,,,,
FALSE;setting_credit;Credit;Credit;Roboto-Regular SDF;Tín dụng;Roboto-Regular SDF;,,,,,,
FALSE;title_notification;Notification;Notification;RobotoSemi-Bold SDF;Thông báo;RobotoSemi-Bold SDF;,,,,,,
FALSE;popup_detail_quit;Are you sure to quit this stage?;Are you sure to quit this stage?;Roboto-Regular SDF;Bạn có chắc chắn muốn thoát màn chơi này?;Roboto-Regular SDF;,,,,,,
FALSE;popup_detail_language_change;Game will be reloaded to update new changes.;Game will be reloaded to update new changes.;Roboto-Regular SDF;Trò chơi sẽ được tải lại để cập nhật những thay đổi mới.;Roboto-Regular SDF;,,,,,,
FALSE;popup_detail_credit;Thank you for playing our game! Developer: Tony & Glory. Game designer: KazuD. Don’t hesitate to leave review us on store. Support mail: nhatlongnguyen1507@gmail.com;Thank you for playing our game! Developer: Tony & Glory. Game designer: KazuD. Don’t hesitate to leave review us on store. Support mail: nhatlongnguyen1507@gmail.com;Roboto-Regular SDF;Cảm ơn các bạn đã dành thời gian chơi game! Developer: Tony & Glory. Đừng ngại để lại đánh giá cho game trên store nhé! Email hỗ trợ: nhatlongnguyen1507@gmail.com;Roboto-Regular SDF;,,,,,,
FALSE;button_yes;YES;YES;Lalezar-Regular SDF;CÓ;Lalezar-Regular SDF;,,,,,,
FALSE;button_no;NO;NO;Lalezar-Regular SDF;KHÔNG;Lalezar-Regular SDF;,,,,,,
FALSE;button_ok;OK;OK;Lalezar-Regular SDF;OK;Lalezar-Regular SDF;,,,,,,
